Train Start Time,Station Name,Scheduled Time
06:00:00,Vanaz,06:00:00
,Anand Nagar,06:02:28
,Ideal Colony,06:04:56
,Nal Stop,06:07:24
,Garware College,06:09:52
,Deccan Gymkhana,06:12:20
,Chatrapati Sambhaji Udyan,06:14:48
,PMC,06:17:16
,District Court,06:19:44
,Mangalwar Peth,06:22:12
,Pune Railway Station,06:24:40
,Ruby Hall Clinic,06:27:08
,Bund Garden,06:29:36
,Yerwada,06:32:04
,Kalyani Nagar,06:34:32
,Ramwadi,06:37:00
06:10:00,Vanaz,06:10:00
,Anand Nagar,06:12:28
,Ideal Colony,06:14:56
,Nal Stop,06:17:24
,Garware College,06:19:52
,Deccan Gymkhana,06:22:20
,Chatrapati Sambhaji Udyan,06:24:48
,PMC,06:27:16
,District Court,06:29:44
,Mangalwar Peth,06:32:12
,Pune Railway Station,06:34:40
,Ruby Hall Clinic,06:37:08
,Bund Garden,06:39:36
,Yerwada,06:42:04
,Kalyani Nagar,06:44:32
,Ramwadi,06:47:00
06:20:00,Vanaz,06:20:00
,Anand Nagar,06:22:28
,Ideal Colony,06:24:56
,Nal Stop,06:27:24
,Garware College,06:29:52
,Deccan Gymkhana,06:32:20
,Chatrapati Sambhaji Udyan,06:34:48
,PMC,06:37:16
,District Court,06:39:44
,Mangalwar Peth,06:42:12
,Pune Railway Station,06:44:40
,Ruby Hall Clinic,06:47:08
,Bund Garden,06:49:36
,Yerwada,06:52:04
,Kalyani Nagar,06:54:32
,Ramwadi,06:57:00
06:30:00,Vanaz,06:30:00
,Anand Nagar,06:32:28
,Ideal Colony,06:34:56
,Nal Stop,06:37:24
,Garware College,06:39:52
,Deccan Gymkhana,06:42:20
,Chatrapati Sambhaji Udyan,06:44:48
,PMC,06:47:16
,District Court,06:49:44
,Mangalwar Peth,06:52:12
,Pune Railway Station,06:54:40
,Ruby Hall Clinic,06:57:08
,Bund Garden,06:59:36
,Yerwada,07:02:04
,Kalyani Nagar,07:04:32
,Ramwadi,07:07:00
06:40:00,Vanaz,06:40:00
,Anand Nagar,06:42:28
,Ideal Colony,06:44:56
,Nal Stop,06:47:24
,Garware College,06:49:52
,Deccan Gymkhana,06:52:20
,Chatrapati Sambhaji Udyan,06:54:48
,PMC,06:57:16
,District Court,06:59:44
,Mangalwar Peth,07:02:12
,Pune Railway Station,07:04:40
,Ruby Hall Clinic,07:07:08
,Bund Garden,07:09:36
,Yerwada,07:12:04
,Kalyani Nagar,07:14:32
,Ramwadi,07:17:00
06:50:00,Vanaz,06:50:00
,Anand Nagar,06:52:28
,Ideal Colony,06:54:56
,Nal Stop,06:57:24
,Garware College,06:59:52
,Deccan Gymkhana,07:02:20
,Chatrapati Sambhaji Udyan,07:04:48
,PMC,07:07:16
,District Court,07:09:44
,Mangalwar Peth,07:12:12
,Pune Railway Station,07:14:40
,Ruby Hall Clinic,07:17:08
,Bund Garden,07:19:36
,Yerwada,07:22:04
,Kalyani Nagar,07:24:32
,Ramwadi,07:27:00
07:00:00,Vanaz,07:00:00
,Anand Nagar,07:02:28
,Ideal Colony,07:04:56
,Nal Stop,07:07:24
,Garware College,07:09:52
,Deccan Gymkhana,07:12:20
,Chatrapati Sambhaji Udyan,07:14:48
,PMC,07:17:16
,District Court,07:19:44
,Mangalwar Peth,07:22:12
,Pune Railway Station,07:24:40
,Ruby Hall Clinic,07:27:08
,Bund Garden,07:29:36
,Yerwada,07:32:04
,Kalyani Nagar,07:34:32
,Ramwadi,07:37:00
07:10:00,Vanaz,07:10:00
,Anand Nagar,07:12:28
,Ideal Colony,07:14:56
,Nal Stop,07:17:24
,Garware College,07:19:52
,Deccan Gymkhana,07:22:20
,Chatrapati Sambhaji Udyan,07:24:48
,PMC,07:27:16
,District Court,07:29:44
,Mangalwar Peth,07:32:12
,Pune Railway Station,07:34:40
,Ruby Hall Clinic,07:37:08
,Bund Garden,07:39:36
,Yerwada,07:42:04
,Kalyani Nagar,07:44:32
,Ramwadi,07:47:00
07:20:00,Vanaz,07:20:00
,Anand Nagar,07:22:28
,Ideal Colony,07:24:56
,Nal Stop,07:27:24
,Garware College,07:29:52
,Deccan Gymkhana,07:32:20
,Chatrapati Sambhaji Udyan,07:34:48
,PMC,07:37:16
,District Court,07:39:44
,Mangalwar Peth,07:42:12
,Pune Railway Station,07:44:40
,Ruby Hall Clinic,07:47:08
,Bund Garden,07:49:36
,Yerwada,07:52:04
,Kalyani Nagar,07:54:32
,Ramwadi,07:57:00
07:30:00,Vanaz,07:30:00
,Anand Nagar,07:32:28
,Ideal Colony,07:34:56
,Nal Stop,07:37:24
,Garware College,07:39:52
,Deccan Gymkhana,07:42:20
,Chatrapati Sambhaji Udyan,07:44:48
,PMC,07:47:16
,District Court,07:49:44
,Mangalwar Peth,07:52:12
,Pune Railway Station,07:54:40
,Ruby Hall Clinic,07:57:08
,Bund Garden,07:59:36
,Yerwada,08:02:04
,Kalyani Nagar,08:04:32
,Ramwadi,08:07:00
07:40:00,Vanaz,07:40:00
,Anand Nagar,07:42:28
,Ideal Colony,07:44:56
,Nal Stop,07:47:24
,Garware College,07:49:52
,Deccan Gymkhana,07:52:20
,Chatrapati Sambhaji Udyan,07:54:48
,PMC,07:57:16
,District Court,07:59:44
,Mangalwar Peth,08:02:12
,Pune Railway Station,08:04:40
,Ruby Hall Clinic,08:07:08
,Bund Garden,08:09:36
,Yerwada,08:12:04
,Kalyani Nagar,08:14:32
,Ramwadi,08:17:00
07:50:00,Vanaz,07:50:00
,Anand Nagar,07:52:28
,Ideal Colony,07:54:56
,Nal Stop,07:57:24
,Garware College,07:59:52
,Deccan Gymkhana,08:02:20
