Train Start Time,Station Name,Scheduled Time
06:00:00,Ramwadi,06:00:00
06:00:00,Kalyani Nagar,06:04:02
06:00:00,Yerwada,06:09:00
06:00:00,Bund Garden,06:11:04
06:00:00,Ruby Hall Clinic,06:13:02
06:00:00,Pune Railway Station,06:15:02
06:00:00,Mangalwar Peth,06:17:08
06:00:00,District Court,06:20:06
06:00:00,PMC,06:22:04
06:00:00,Chatrapati Sambhaji Udyan,06:24:12
06:00:00,Deccan Gymkhana,06:26:40
06:00:00,Garware College,06:28:08
06:00:00,Nal Stop,06:30:06
06:00:00,Ideal Colony,06:33:04
06:00:00,Anand Nagar,06:34:32
06:00:00,Vanaz,06:37:00
,,
06:10:00,Ramwadi,06:10:00
06:10:00,Kalyani Nagar,06:14:02
06:10:00,Yerwada,06:19:00
06:10:00,Bund Garden,06:21:04
06:10:00,Ruby Hall Clinic,06:23:02
06:10:00,Pune Railway Station,06:25:02
06:10:00,Mangalwar Peth,06:27:08
06:10:00,District Court,06:30:06
06:10:00,PMC,06:32:04
06:10:00,Chatrapati Sambhaji Udyan,06:34:12
06:10:00,Deccan Gymkhana,06:36:40
06:10:00,Garware College,06:38:08
06:10:00,Nal Stop,06:40:06
06:10:00,Ideal Colony,06:43:04
06:10:00,Anand Nagar,06:44:32
06:10:00,Vanaz,06:47:00
,,
06:20:00,Ramwadi,06:20:00
06:20:00,Kalyani Nagar,06:24:02
06:20:00,Yerwada,06:29:00
06:20:00,Bund Garden,06:31:04
06:20:00,Ruby Hall Clinic,06:33:02
06:20:00,Pune Railway Station,06:35:02
06:20:00,Mangalwar Peth,06:37:08
06:20:00,District Court,06:40:06
06:20:00,PMC,06:42:04
06:20:00,Chatrapati Sambhaji Udyan,06:44:12
06:20:00,Deccan Gymkhana,06:46:40
06:20:00,Garware College,06:48:08
06:20:00,Nal Stop,06:50:06
06:20:00,Ideal Colony,06:53:04
06:20:00,Anand Nagar,06:54:32
06:20:00,Vanaz,06:57:00
,,
06:30:00,Ramwadi,06:30:00
06:30:00,Kalyani Nagar,06:34:02
06:30:00,Yerwada,06:39:00
06:30:00,Bund Garden,06:41:04
06:30:00,Ruby Hall Clinic,06:43:02
06:30:00,Pune Railway Station,06:45:02
06:30:00,Mangalwar Peth,06:47:08
06:30:00,District Court,06:50:06
06:30:00,PMC,06:52:04
06:30:00,Chatrapati Sambhaji Udyan,06:54:12
06:30:00,Deccan Gymkhana,06:56:40
06:30:00,Garware College,06:58:08
06:30:00,Nal Stop,07:00:06
06:30:00,Ideal Colony,07:03:04
06:30:00,Anand Nagar,07:04:32
06:30:00,Vanaz,07:07:00
,,
06:40:00,Ramwadi,06:40:00
06:40:00,Kalyani Nagar,06:44:02
06:40:00,Yerwada,06:49:00
06:40:00,Bund Garden,06:51:04
06:40:00,Ruby Hall Clinic,06:53:02
06:40:00,Pune Railway Station,06:55:02
06:40:00,Mangalwar Peth,06:57:08
06:40:00,District Court,07:00:06
06:40:00,PMC,07:02:04
06:40:00,Chatrapati Sambhaji Udyan,07:04:12
06:40:00,Deccan Gymkhana,07:06:40
06:40:00,Garware College,07:08:08
06:40:00,Nal Stop,07:10:06
06:40:00,Ideal Colony,07:13:04
06:40:00,Anand Nagar,07:14:32
06:40:00,Vanaz,07:17:00
,,
06:50:00,Ramwadi,06:50:00
06:50:00,Kalyani Nagar,06:54:02
06:50:00,Yerwada,06:59:00
06:50:00,Bund Garden,07:01:04
06:50:00,Ruby Hall Clinic,07:03:02
06:50:00,Pune Railway Station,07:05:02
06:50:00,Mangalwar Peth,07:07:08
06:50:00,District Court,07:10:06
06:50:00,PMC,07:12:04
06:50:00,Chatrapati Sambhaji Udyan,07:14:12
06:50:00,Deccan Gymkhana,07:16:40
06:50:00,Garware College,07:18:08
06:50:00,Nal Stop,07:20:06
06:50:00,Ideal Colony,07:23:04
06:50:00,Anand Nagar,07:24:32
06:50:00,Vanaz,07:27:00
,,
07:00:00,Ramwadi,07:00:00
07:00:00,Kalyani Nagar,07:04:02
07:00:00,Yerwada,07:09:00
07:00:00,Bund Garden,07:11:04
07:00:00,Ruby Hall Clinic,07:13:02
07:00:00,Pune Railway Station,07:15:02
07:00:00,Mangalwar Peth,07:17:08
07:00:00,District Court,07:20:06
07:00:00,PMC,07:22:04
07:00:00,Chatrapati Sambhaji Udyan,07:24:12
07:00:00,Deccan Gymkhana,07:26:40
07:00:00,Garware College,07:28:08
07:00:00,Nal Stop,07:30:06
07:00:00,Ideal Colony,07:33:04
07:00:00,Anand Nagar,07:34:32
07:00:00,Vanaz,07:37:00
,,
07:10:00,Ramwadi,07:10:00
07:10:00,Kalyani Nagar,07:14:02
07:10:00,Yerwada,07:19:00
07:10:00,Bund Garden,07:21:04
07:10:00,Ruby Hall Clinic,07:23:02
07:10:00,Pune Railway Station,07:25:02
07:10:00,Mangalwar Peth,07:27:08
07:10:00,District Court,07:30:06
07:10:00,PMC,07:32:04
07:10:00,Chatrapati Sambhaji Udyan,07:34:12
07:10:00,Deccan Gymkhana,07:36:40
